year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier
2013,1,1,517,2,830,11,UA
2013,1,1,533,4,850,20,UA
2013,1,1,542,2,923,33,AA
2013,1,1,554,,812,-25,DL
2013,1,1,554,-4,740,12,UA
2013,1,1,558,-2,753,8,AA
2013,1,1,558,-2,924,7,UA
2013,1,1,558,-2,924,7,UA
2013,1,1,559,,941,31,AA
2013,1,1,559,-1,854,-8,UA
,1,1,602,-8,812,-8,DL
2013,1,1,606,1,858,-12,AA
2013,1,1,606,2,837,-8,DL
2013,1,1,607,0,858,-17,UA
2013,1,1,611,11,945,14,UA
2013,1,1,615,0,833,-9,DL
2013,1,1,622,-8,1017,3,US
2013,1,1,623,13,920,5,AA
,1,1,623,-4,933,1,UA
2013,1,1,627,-3,1018,0,US
2013,1,1,628,2,1137,-3,AA
2013,1,1,628,2,1016,29,UA
2013,1,1,629,-1,824,14,AA
2013,1,1,629,-1,824,-9,US
2013,1,1,635,0,1028,48,AA
2013,1,1,643,-3,922,-18,UA
2013,1,1,643,-2,837,-11,US
2013,1,1,644,8,931,-9,UA
2013,1,1,646,1,910,-6,UA
2013,1,1,646,1,1023,-7,UA
2013,1,1,653,-7,936,-33,DL
2013,1,1,655,0,1021,-9,DL
2013,1,1,655,-5,1037,-8,DL
2013,1,1,655,-5,1002,-18,DL
2013,1,1,656,-4,854,4,AA
2013,1,1,656,-3,949,-10,AA
2013,1,1,656,-4,948,-23,UA
2013,1,1,657,-3,959,-14,DL
2013,1,1,658,-2,944,5,DL
2013,1,1,659,-1,1008,-7,AA
2013,1,1,659,-6,907,-6,DL
2013,1,1,659,-1,959,-9,UA
2013,1,1,701,1,1123,-31,UA
2013,1,1,709,9,852,20,UA
2013,1,1,712,-3,1023,-12,AA
2013,1,1,715,2,911,21,UA
2013,1,1,723,-2,1013,-4,UA
2013,1,1,724,-6,1111,31,AA
2013,1,1,724,-1,1020,-10,AS
2013,1,1,725,-5,1052,12,AA
2013,1,1,727,-3,959,7,UA
2013,1,1,728,-4,1041,3,UA
2013,1,1,732,47,1011,30,UA
2013,1,1,739,-6,918,-12,AA
2013,1,1,739,0,1104,26,UA
2013,1,1,743,13,1107,7,AA
2013,1,1,743,13,1059,3,DL
2013,1,1,745,0,1135,10,AA
2013,1,1,746,0,1119,-10,UA
2013,1,1,752,-3,1041,-18,DL
2013,1,1,752,2,1025,-4,UA
2013,1,1,752,-7,955,-4,US
2013,1,1,753,-2,1056,-14,AA
2013,1,1,754,-5,1039,-2,DL
2013,1,1,759,-1,1057,-30,DL
2013,1,1,800,0,1022,8,DL
2013,1,1,803,-7,903,-22,AA
2013,1,1,803,3,1132,-12,UA
2013,1,1,804,-6,1103,-13,DL
2013,1,1,807,-3,1043,0,DL
2013,1,1,810,-5,1100,-28,DL
2013,1,1,811,-4,1026,10,US
2013,1,1,813,-2,1103,7,DL
2013,1,1,820,-10,940,-14,DL
2013,1,1,820,0,1249,-40,DL
2013,1,1,823,-2,1019,-5,US
2013,1,1,823,0,1151,16,UA
2013,1,1,824,-6,1027,2,AA
2013,1,1,826,71,1136,51,AA
2013,1,1,826,9,1145,-13,UA
2013,1,1,828,5,1150,7,UA
2013,1,1,829,-1,1152,-8,UA
2013,1,1,829,-1,1117,-23,UA
2013,1,1,830,0,1018,3,AA
2013,1,1,835,0,1210,20,AA
2013,1,1,840,-5,1311,-39,AA
2013,1,1,840,-5,1053,-9,DL
2013,1,1,848,-3,1155,19,UA
2013,1,1,851,-8,1102,-3,DL
2013,1,1,851,11,1215,9,UA
2013,1,1,855,-4,1143,-2,DL
2013,1,1,856,-4,1226,6,AA
2013,1,1,856,-4,1222,-10,DL
2013,1,1,856,1,1140,-23,UA
2013,1,1,857,-8,1107,-13,DL
2013,1,1,857,-3,1124,-9,DL
2013,1,1,857,6,1157,-25,UA
2013,1,1,859,-1,1140,-24,DL
2013,1,1,900,0,1211,8,UA
2013,1,1,902,-1,1048,3,UA
2013,1,1,904,-2,1207,-19,UA
2013,1,1,906,23,1134,9,UA
2013,1,1,908,-7,1004,-29,US
2013,1,1,908,0,1228,9,UA
2013,1,1,909,59,1331,16,AA
2013,1,1,912,12,1241,21,AA
2013,1,1,912,6,1219,-7,UA
2013,1,1,913,-5,1346,-30,UA
2013,1,1,914,-6,1244,4,AA
2013,1,1,914,14,1058,15,UA
2013,1,1,917,-3,1313,28,AA
2013,1,1,921,21,1237,10,DL
2013,1,1,926,-2,1233,13,UA
2013,1,1,927,-3,1231,-26,DL
2013,1,1,930,25,1218,9,UA
2013,1,1,931,1,1121,13,UA
2013,1,1,936,-4,1235,-16,DL
2013,1,1,936,-9,1257,-12,DL
2013,1,1,940,-5,1119,-11,AA
2013,1,1,953,32,1320,39,UA
2013,1,1,955,-5,1336,11,US
2013,1,1,956,-4,1241,0,DL
2013,1,1,957,144,1056,123,UA
2013,1,1,959,-3,1313,-6,DL
2013,1,1,959,-1,1151,-15,US
2013,1,1,1003,4,1408,39,US
2013,1,1,1005,5,1239,5,UA
2013,1,1,1009,-6,1219,-10,DL
2013,1,1,1010,-5,1204,-6,US
2013,1,1,1010,-5,1225,11,US
2013,1,1,1011,-4,1246,-21,DL
2013,1,1,1025,5,1356,26,AA
2013,1,1,1025,34,1258,-4,UA
2013,1,1,1026,-4,1351,11,AA
2013,1,1,1028,2,1350,11,UA
2013,1,1,1029,-1,1427,32,AA
2013,1,1,1031,1,1323,-11,UA
2013,1,1,1033,16,1130,-6,UA
2013,1,1,1037,7,1221,11,AA
2013,1,1,1038,8,1223,21,UA
2013,1,1,1044,-1,1352,1,UA
2013,1,1,1044,3,1339,-11,UA
2013,1,1,1047,-8,1359,-6,AA
2013,1,1,1047,-3,1401,-9,DL
2013,1,1,1054,-5,1326,-13,DL
2013,1,1,1056,-4,1407,-6,DL
2013,1,1,1058,-2,1210,-6,US
2013,1,1,1059,6,1342,-9,UA
2013,1,1,1103,3,1410,-11,DL
